Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,86.920,87.100,86.340,86.470,86.470,38301.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,86.445,86.445,86.080,86.235,86.235,30091.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,86.435,86.770,86.323,86.620,86.620,79657.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,86.460,86.460,86.100,86.180,86.180,4705.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,86.300,86.300,86.170,86.170,86.170,733.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,86.170,86.170,86.170,86.170,86.170,312.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,86.170,86.170,86.130,86.130,86.130,845.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,86.020,86.250,86.020,86.076,86.076,8105.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,86.110,86.370,86.070,86.350,86.350,4390.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,86.305,86.340,86.170,86.238,86.238,5543.000,86.264,nan,False,Noise Bar,nan,Empty
2024-07-15 09:52:00-04:00,86.300,86.485,86.260,86.485,86.485,3359.000,86.265,nan,False,Noise Bar,0.001,Empty
2024-07-15 09:54:00-04:00,86.410,86.410,86.410,86.410,86.410,3116.000,86.283,nan,False,Noise Bar,0.018,Empty
2024-07-15 09:56:00-04:00,86.230,86.310,86.145,86.310,86.310,3478.000,86.252,nan,False,Noise Bar,-0.031,Empty
2024-07-15 09:58:00-04:00,86.280,86.280,86.280,86.280,86.280,394.000,86.262,nan,False,Noise Bar,0.010,Empty
2024-07-15 10:00:00-04:00,86.310,86.400,86.207,86.380,86.380,49692.000,86.283,nan,False,Noise Bar,0.021,Empty
2024-07-15 10:02:00-04:00,86.410,86.410,86.395,86.395,86.395,618.000,86.305,nan,False,Noise Bar,0.022,Empty
2024-07-15 10:04:00-04:00,86.340,86.365,86.320,86.320,86.320,1039.000,86.324,nan,False,Noise Bar,0.019,Empty
2024-07-15 10:06:00-04:00,86.420,86.550,86.420,86.550,86.550,1200.000,86.372,nan,False,Noise Bar,0.047,Empty
2024-07-15 10:08:00-04:00,86.550,86.620,86.510,86.620,86.620,4182.000,86.399,nan,False,Noise Bar,0.027,Empty
2024-07-15 10:10:00-04:00,86.710,86.743,86.680,86.690,86.690,1679.000,86.444,nan,False,Noise Bar,0.045,Empty
2024-07-15 10:12:00-04:00,86.675,86.680,86.600,86.600,86.600,3285.000,86.456,nan,False,Noise Bar,0.011,Empty
2024-07-15 10:14:00-04:00,86.560,86.560,86.500,86.500,86.500,3072.000,86.464,nan,False,Noise Bar,0.009,Empty
2024-07-15 10:16:00-04:00,86.670,86.695,86.645,86.695,86.695,2873.000,86.503,nan,False,Noise Bar,0.039,Empty
2024-07-15 10:18:00-04:00,86.700,87.020,86.700,87.020,87.020,32639.000,86.577,nan,False,Noise Bar,0.074,Empty
2024-07-15 10:20:00-04:00,87.050,87.050,86.980,87.016,87.016,1476.000,86.641,nan,False,Noise Bar,0.064,Empty
2024-07-15 10:22:00-04:00,87.035,87.080,86.950,86.970,86.970,4920.000,86.698,nan,False,Noise Bar,0.058,Empty
