Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup
2024-07-08 09:30:00-04:00,390.3680114746094,397.0380859375,390.2799987792969,395.5899963378906,395.5899963378906,241134,,,False
2024-07-08 09:32:00-04:00,395.7049865722656,396.8999938964844,394.2200012207031,394.2200012207031,394.2200012207031,95122,,,False
2024-07-08 09:34:00-04:00,394.1000061035156,394.3349914550781,383.6700134277344,386.4100036621094,386.4100036621094,176206,,,False
2024-07-08 09:36:00-04:00,385.6199951171875,385.6199951171875,379.7900085449219,382.1199951171875,382.1199951171875,178854,,,False
2024-07-08 09:38:00-04:00,382.43499755859375,385.45989990234375,381.4909973144531,385.2300109863281,385.2300109863281,80863,,,False
2024-07-08 09:40:00-04:00,385.25,386.1199951171875,384.3200073242187,385.0,385.0,40187,,,False
2024-07-08 09:42:00-04:00,385.4450073242187,385.4450073242187,384.5271911621094,384.8200073242187,384.8200073242187,21332,,,False
2024-07-08 09:44:00-04:00,384.7699890136719,384.7699890136719,383.5899963378906,384.19000244140625,384.19000244140625,25043,,,False
2024-07-08 09:46:00-04:00,384.2900085449219,385.6799011230469,384.260009765625,384.6310119628906,384.6310119628906,28564,,,False
2024-07-08 09:48:00-04:00,384.7699890136719,385.3450012207031,383.4049987792969,383.9049987792969,383.9049987792969,27609,386.6116027832031,,False
2024-07-08 09:50:00-04:00,383.8550109863281,386.5400085449219,383.8550109863281,386.3299865722656,386.3299865722656,16526,385.68560180664065,,False
2024-07-08 09:52:00-04:00,385.989990234375,386.8699951171875,384.6304931640625,386.6799926757813,386.6799926757813,22372,384.9316009521484,,False
2024-07-08 09:54:00-04:00,386.1099853515625,386.3049926757813,384.9700012207031,385.0299987792969,385.0299987792969,13344,384.79360046386716,,False
2024-07-08 09:56:00-04:00,385.2200012207031,385.69000244140625,384.8500061035156,385.1099853515625,385.1099853515625,15855,385.0925994873047,,False
2024-07-08 09:58:00-04:00,384.8900146484375,385.9999084472656,384.760009765625,384.8599853515625,384.8599853515625,15253,385.05559692382815,,False
2024-07-08 10:00:00-04:00,385.4800109863281,385.5199890136719,383.3299865722656,384.010009765625,384.010009765625,32105,384.95659790039065,,False
2024-07-08 10:02:00-04:00,384.3500061035156,384.3599853515625,382.4800109863281,382.6600036621094,382.6600036621094,26194,384.7405975341797,,False
2024-07-08 10:04:00-04:00,382.9299926757813,384.5199890136719,382.7200012207031,384.2598876953125,384.2598876953125,26106,384.7475860595703,,False
2024-07-08 10:06:00-04:00,384.6799926757813,385.989990234375,384.3999938964844,385.6099853515625,385.6099853515625,20716,384.8454833984375,,False
2024-07-08 10:08:00-04:00,385.6199951171875,386.2099914550781,385.51611328125,386.18499755859375,386.18499755859375,11641,385.0734832763672,,False
2024-07-08 10:10:00-04:00,386.1724853515625,388.2099914550781,386.1724853515625,387.114990234375,387.114990234375,29855,385.1519836425781,,False
2024-07-08 10:12:00-04:00,387.2999877929687,387.6700134277344,386.8301086425781,387.4649963378906,387.4649963378906,17905,385.23048400878906,,False
2024-07-08 10:14:00-04:00,387.4700012207031,387.5498962402344,386.8599853515625,387.0549926757813,387.0549926757813,9035,385.4329833984375,,False
2024-07-08 10:16:00-04:00,386.9200134277344,387.6700134277344,386.4100036621094,386.7300109863281,386.7300109863281,17397,385.59498596191406,,False
2024-07-08 10:18:00-04:00,386.7099914550781,386.7149963378906,385.5400085449219,385.7999877929687,385.7999877929687,9804,385.68898620605466,,False
2024-07-08 10:20:00-04:00,385.7999877929687,386.3599853515625,385.2200012207031,385.9800109863281,385.9800109863281,18147,385.885986328125,,False
2024-07-08 10:22:00-04:00,386.114990234375,386.2995910644531,385.6199951171875,386.0292053222656,386.0292053222656,11290,386.2229064941406,,False
2024-07-08 10:24:00-04:00,385.6300048828125,386.4999084472656,385.6300048828125,386.260009765625,386.260009765625,9114,386.42291870117185,,False
