Entry_Time,Entry_Price,Stop_Loss,Trade_Type
2024-08-13 15:16:00-04:00,248.35,248.07,Buy
2024-08-13 15:20:00-04:00,247.99,248.07,Sell - Stop Loss
2024-08-13 15:36:00-04:00,248.27,248.05,Buy
2024-08-13 15:38:00-04:00,247.80,248.05,Sell - Stop Loss
2024-08-13 15:52:00-04:00,247.14,247.54,Sell - Away from SMA
2024-08-14 10:40:00-04:00,252.65,252.16,Buy
2024-08-14 10:46:00-04:00,254.29,252.16,Sell - Away from SMA
2024-08-14 11:30:00-04:00,255.62,255.13,Buy
2024-08-14 11:38:00-04:00,257.17,255.13,Sell - Away from SMA
2024-08-15 14:08:00-04:00,260.88,260.58,Buy
2024-08-15 14:30:00-04:00,260.58,260.58,Sell - Stop Loss
2024-08-16 12:22:00-04:00,260.21,259.85,Buy
2024-08-16 12:32:00-04:00,260.87,260.53,Buy
2024-08-16 15:34:00-04:00,261.75,261.55,Buy
